Block Name,GPU Name,Sub Division
Chongrang,Karzi Mangnam,Yuksom Subdivision
Chongrang,Dhupidara Narkhola,Yuksom Subdivision
Chongrang,Kongri Labdang,Yuksom Subdivision
Chongrang,Tashiding,Yuksom Subdivision
Chongrang,Arithang Chongrang,Yuksom Subdivision
Chongrang,Gerethang Labing,Yuksom Subdivision
Yuksam,Yuksam,Yuksom Subdivision
Yuksam,Thingling,Yuksom Subdivision
Yuksam,Khechuperi,Yuksom Subdivision
Yuksam,Meli Aching,Yuksom Subdivision
Yuksam,Rimbi Timbrong,Yuksom Subdivision
Gyalshing,Nambu Sindrabong,Gyalshing Subdivision
Gyalshing,Darap Singpheng,Gyalshing Subdivision
Gyalshing,Singyang Chumbong,Gyalshing Subdivision
Gyalshing,Yangtey,Gyalshing Subdivision
Gyalshing,Yangthang,Gyalshing Subdivision
Gyalshing,Tikjuk Kyongsha,Gyalshing Subdivision
Gyalshing,Lingchom Tikjya,Gyalshing Subdivision
Gyalshing,Gyalshing Omchung,Gyalshing Subdivision
Dentam,Sardong Lungzick,Dentam Sub Division
Dentam,Bongten Sapong,Dentam Sub Division
Dentam,Karmatar Gitang,Dentam Sub Division
Dentam,Maneybong,Dentam Sub Division
Dentam,Sopakha,Dentam Sub Division
Dentam,Begha,Dentam Sub Division
Dentam,Mangmoo Dentam,Dentam Sub Division
Dentam,Sangkhu Radhu Khandu,Dentam Sub Division
Hee Martam,Hee,Dentam Sub Division
Hee Martam,Martam,Dentam Sub Division
Hee Martam,Pechreak Heepatal,Dentam Sub Division
Hee Martam,Bermiok Berthang,Dentam Sub Division
Hee Martam,Berfok Chandabung,Dentam Sub Division
Hee Martam,Yangsum,Dentam Sub Division
Nagar Panchayat,Gyalshing Nagar Panchayat,Gyalshing Subdivision
